"rid", "binaryID"
265,10010100000000000000000000000000000000000000010000000000000100000
196,100101000000000000000000000000000000000000000000000000000000000000
167,100101000000000000000000000000000000000000000000000000000000010000
461,100101000000000000000000000000000000000000000000000000000000010100
266,100101000000000000000000000000000000000000000100000000000000000000
197,1001010000000000000000000000000000000000000000000000000000000000000
162,1001010000000000000000000000000000000000000000000000000000000100000
460,1001010000000000000000000000000000000000000000000000000000000101000
191,10010100000000000000000000000000000000000000000000000000000000000000
163,10010100000000000000000000000000000000000000000000000000000001000000
459,10010100000000000000000000000000000000000000000000000000000001010000
192,100101000000000000000000000000000000000000000000000000000000000000000
164,100101000000000000000000000000000000000000000000000000000000010000000
422,100101000000000000000000000000000000000000000000000000000000010100000
190,1001010000000000000000000000000000000000000000000000000000000000000000
159,1001010000000000000000000000000000000000000000000000000000000100000000
178,10010100000000000000000000000000000000000000000000000000000000000000000
160,10010100000000000000000000000000000000000000000000000000000001000000000
180,100101000000000000000000000000000000000000000000000000000000000000000000
161,100101000000000000000000000000000000000000000000000000000000010000000000
186,1001010000000000000000000000000000000000000000000000000000000000000000000
428,1001010000000000000000000000000000000000000000000000000000000000000000001
155,1001010000000000000000000000000000000000000000000000000000000100000000000
185,10010100000000000000000000000000000000000000000000000000000000000000000000
429,10010100000000000000000000000000000000000000000000000000000000000000000010
156,10010100000000000000000000000000000000000000000000000000000001000000000000
184,100101000000000000000000000000000000000000000000000000000000000000000000000
430,100101000000000000000000000000000000000000000000000000000000000000000000100
157,100101000000000000000000000000000000000000000000000000000000010000000000000
189,1001010000000000000000000000000000000000000000000000000000000000000000000000
425,1001010000000000000000000000000000000000000000000000000000000000000000000001
158,1001010000000000000000000000000000000000000000000000000000000100000000000000
188,10010100000000000000000000000000000000000000000000000000000000000000000000000
154,10010100000000000000000000000000000000000000000000000000000001000000000000000
181,100101000000000000000000000000000000000000000000000000000000000000000000000000
153,100101000000000000000000000000000000000000000000000000000000010000000000000000
179,1001010000000000000000000000000000000000000000000000000000000000000000000000000
147,1001010000000000000000000000000000000000000000000000000000000100000000000000000
481,1001010000000000000000000000000000000000000000000000000000000100000000000000001
177,10010100000000000000000000000000000000000000000000000000000000000000000000000000
146,10010100000000000000000000000000000000000000000000000000000001000000000000000000
456,10010100000000000000000000000000000000000000000000000000000001000000000000000001
499,10010100000000000000000000000000000000000000000000000000000001000000000000000010
176,100101000000000000000000000000000000000000000000000000000000000000000000000000000
145,100101000000000000000000000000000000000000000000000000000000010000000000000000000
424,100101000000000000000000000000000000000000000000000000000000010000000000000000010
500,100101000000000000000000000000000000000000000000000000000000010000000000000000100
175,1001010000000000000000000000000000000000000000000000000000000000000000000000000000
143,1001010000000000000000000000000000000000000000000000000000000100000000000000000000
455,1001010000000000000000000000000000000000000000000000000000000100000000000000000001
423,1001010000000000000000000000000000000000000000000000000000000100000000000000000100
174,10010100000000000000000000000000000000000000000000000000000000000000000000000000000
144,10010100000000000000000000000000000000000000000000000000000001000000000000000000000
172,100101000000000000000000000000000000000000000000000000000000000000000000000000000000
142,100101000000000000000000000000000000000000000000000000000000010000000000000000000000
151,1001010000000000000000000000000000000000000000000000000000000000000000000000000000000
487,1001010000000000000000000000000000000000000000000000000000000000000000000000000000001
141,1001010000000000000000000000000000000000000000000000000000000100000000000000000000000
168,10010100000000000000000000000000000000000000000000000000000000000000000000000000000000
496,10010100000000000000000000000000000000000000000000000000000000000000000000000000000001
486,10010100000000000000000000000000000000000000000000000000000000000000000000000000000010
140,10010100000000000000000000000000000000000000000000000000000001000000000000000000000000
150,100101000000000000000000000000000000000000000000000000000000000000000000000000000000000
485,100101000000000000000000000000000000000000000000000000000000000000000000000000000000100
139,100101000000000000000000000000000000000000000000000000000000010000000000000000000000000
170,1001010000000000000000000000000000000000000000000000000000000000000000000000000000000000
484,1001010000000000000000000000000000000000000000000000000000000000000000000000000000001000
